Date,Ticker,Entry_Price,Oracle_Score,Projected_Upside,Fair_Value,F_Score,Status,Safety_Badge,Momentum_Badge,Regime_Active
2026-01-04,CUMMINSIND.NS,4482.1,41.0,-82.0,807.51,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CYIENT.NS,1105.9,7.6,-13.1,961.53,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,DCMSHRIRAM.NS,1257.2,22.3,-78.6,268.82,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,DLF.NS,698.2,23.1,-54.0,321.21,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,DOMS.NS,2673.9,28.8,-80.7,515.82,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,DABUR.NS,522.6,46.0,-76.3,123.62,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,DALBHARAT.NS,2147.1,42.9,-73.8,563.37,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,DATAPATTNS.NS,2621.7,10.3,-76.6,612.98,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,DEEPAKFERT.NS,1261.8,5.9,-27.7,911.86,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,DEEPAKNTR.NS,1711.1,11.7,-53.8,790.89,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,DELHIVERY.NS,404.5,24.2,-95.7,17.41,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,DEVYANI.NS,148.07,26.0,-65.3,51.36,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,DIVISLAB.NS,6392.5,32.2,-98.0,125.3,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,DIXON.NS,12165.0,4.1,-95.6,537.92,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,AGARWALEYE.NS,501.95,34.3,-96.2,19.28,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,LALPATHLAB.NS,1474.2,41.6,-67.7,476.43,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,DRREDDY.NS,1256.1,40.0,-82.2,223.56,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,DUMMYHDLVR.NS,0.0,0.0,0.0,0.0,0,Data Error,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,EIDPARRY.NS,1011.2,29.5,-23.4,774.12,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,EIHOTEL.NS,367.3,30.0,-77.1,84.24,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,EICHERMOT.NS,7334.5,49.4,-77.4,1658.58,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ELECON.NS,501.0,4.9,-49.6,252.55,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ELGIEQUIP.NS,483.8,18.4,-70.0,145.11,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,EMAMILTD.NS,522.55,31.8,-42.3,301.73,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,EMCURE.NS,1430.9,26.4,-74.6,362.99,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,ENDURANCE.NS,2540.2,29.1,-79.3,526.04,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,ENGINERSIN.NS,206.4,15.5,-91.0,18.53,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ERIS.NS,1533.5,24.8,-32.6,1033.58,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,ESCORTS.NS,3847.1,40.4,-72.7,1051.07,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,ETERNAL.NS,284.15,21.4,-96.8,8.96,5,Active,⚠️ MED,🚀 FAST,BULLISH
